field,a_ner_f1,a_val_acc,a_state_acc,a_code_recall,b_ner_f1,b_val_acc,b_state_acc,b_code_recall
clinical_stage,0.3333,0.0,0.6,0.0,0.4615,0.0,0.6,0.0
distant_metastasis,0.8889,0.0,0.7,0.0,0.75,0.1,0.6,0.0
egfr_mutation,0.5714,0.0,0.1,0.0,0.5714,0.0,0.2,0.0
er_status,0.8235,0.0,0.3,0.0,0.8235,0.2,0.6,0.0
her2_status,0.1818,0.0,0.0,0.0,0.8235,0.2,0.4,0.0
histology_type,1.0,0.0,0.9,0.1111,1.0,0.2,0.9,0.8889
kras_mutation,0.8235,0.0,0.1,0.0,0.8235,0.4,0.2,0.0
laterality,0.8889,0.5,0.9,0.0,1.0,0.7,0.7,0.0
lymph_nodes_examined,0.8889,0.4,0.5,0.0,0.75,0.4,0.6,0.0
lymph_nodes_positive,0.8889,0.4,0.3,0.0,0.8235,0.5,0.3,0.0
lymphovascular_invasion,0.75,0.4,0.5,0.0,0.75,0.3,0.4,0.0
pathologic_stage,0.8235,0.0,0.4,0.0,0.8235,0.1,0.6,0.0
perineural_invasion,0.5714,0.3,0.4,0.0,0.6667,0.3,0.3,0.0
pr_status,0.8235,0.0,0.2,0.0,0.8235,0.2,0.5,0.0
primary_site,1.0,0.0,0.9,0.1,1.0,0.2,0.9,0.3
prior_treatment,0.3333,0.0,0.1,0.0,0.4615,0.0,0.2,0.0
procedure_type,0.8235,0.2,0.7,0.0,1.0,0.4,1.0,0.0
surgical_margins,0.5714,0.0,0.4,0.0,0.75,0.0,0.8,0.0
tumor_grade,0.8235,0.2,0.7,0.0,0.9474,0.1,0.8,0.0
tumor_multiplicity,1.0,0.0,0.7,0.0,0.5714,0.0,0.2,0.0
tumor_size,1.0,0.1,0.9,0.0,0.9474,0.6,0.9,0.0
