concept_id,concept_name,terminology,code,category,description,synonyms,semantic_type,version
T0001,Invasive ductal carcinoma of breast,SNOMED_CT,413448000,cancer_type,Invasive ductal carcinoma of breast,IDC breast;invasive ductal breast carcinoma;infiltrating ductal carcinoma;NST,histology,2025-01-31
T0002,Invasive lobular carcinoma of breast,SNOMED_CT,416940007,cancer_type,Invasive lobular carcinoma of breast,ILC;infiltrating lobular carcinoma,histology,2025-01-31
T0003,Ductal carcinoma in situ of breast,SNOMED_CT,397159002,cancer_type,Ductal carcinoma in situ of breast,DCIS;intraductal breast carcinoma,histology,2025-01-31
T0004,Lobular carcinoma in situ of breast,SNOMED_CT,4105005,cancer_type,Lobular carcinoma in situ,LCIS;lobular neoplasia,histology,2025-01-31
T0005,Triple negative breast cancer,SNOMED_CT,827000006,cancer_type,Triple negative malignant neoplasm of breast,TNBC;triple negative breast carcinoma;ER-/PR-/HER2-,histology,2025-01-31
T0006,HER2-positive breast carcinoma,SNOMED_CT,718220008,cancer_type,HER2 positive carcinoma of breast,HER2+ breast cancer;ERBB2-positive breast cancer,histology,2025-01-31
T0007,Mucinous carcinoma of breast,SNOMED_CT,109369007,cancer_type,Mucinous adenocarcinoma of breast,colloid carcinoma breast;gelatinous carcinoma,histology,2025-01-31
T0008,Medullary carcinoma of breast,SNOMED_CT,30156004,cancer_type,Medullary carcinoma of female breast,medullary breast carcinoma,histology,2025-01-31
T0009,Inflammatory breast carcinoma,SNOMED_CT,93761005,cancer_type,Inflammatory carcinoma of breast,inflammatory breast cancer;IBC,histology,2025-01-31
T0010,Paget disease of nipple,SNOMED_CT,59840001,cancer_type,Paget disease of nipple,Paget disease nipple;nipple Paget;mammary Paget disease,histology,2025-01-31
T0011,Adenocarcinoma of colon,SNOMED_CT,363346000,cancer_type,Adenocarcinoma of colon,colonic adenocarcinoma;colon cancer;colorectal cancer CRC,histology,2025-01-31
T0012,Adenocarcinoma of rectum,SNOMED_CT,254527003,cancer_type,Adenocarcinoma of rectum,rectal adenocarcinoma;rectal cancer,histology,2025-01-31
T0013,Mucinous adenocarcinoma of colon,SNOMED_CT,314966009,cancer_type,Mucinous adenocarcinoma of colon,colloid colon cancer;mucin-producing colon cancer,histology,2025-01-31
T0014,Signet ring cell carcinoma of colon,SNOMED_CT,372088000,cancer_type,Signet ring cell carcinoma of large intestine,signet ring cell colon;mucosecretory colorectal carcinoma,histology,2025-01-31
T0015,MSI-H colorectal cancer,SNOMED_CT,1148595006,cancer_type,Microsatellite instability-high colorectal carcinoma,MSI-H colorectal;dMMR colorectal;mismatch repair deficient colon,histology,2025-01-31
T0016,Pulmonary adenocarcinoma,SNOMED_CT,254637007,cancer_type,Adenocarcinoma of lung,lung adenocarcinoma;pulmonary adeno;NSCLC adeno,histology,2025-01-31
T0017,Squamous cell carcinoma of lung,SNOMED_CT,254626000,cancer_type,Squamous cell carcinoma of bronchus and lung,lung SCC;pulmonary squamous cell carcinoma;epidermoid lung carcinoma,histology,2025-01-31
T0018,Small cell carcinoma of lung,SNOMED_CT,254625001,cancer_type,Small cell carcinoma of lung,SCLC;oat cell carcinoma lung;small cell lung cancer,histology,2025-01-31
T0019,Large cell carcinoma of lung,SNOMED_CT,254628004,cancer_type,Large cell carcinoma of lung,LCLC;large cell neuroendocrine carcinoma lung,histology,2025-01-31
